imdb_title_id,date_published,genre,duration,mean_vote
tt7271882,2018-09,Drama,123,7.0
tt7271882,2018-09,History,123,7.0
tt7272242,2018-06,Drama,95,7.2
tt7272948,2019-06,Horror,90,4.3
tt7272948,2019-06,Thriller,90,4.3
tt7274806,2018-10,Thriller,125,6.3
tt7275232,2018-02,Comedy,118,2.7
tt7275232,2018-02,Drama,118,2.7
tt7275816,2018-10,Comedy,114,4.8
tt7275816,2018-10,Drama,114,4.8
tt7275816,2018-10,Romance,114,4.8
tt7275822,2018-09,Comedy,127,3.6
tt7275822,2018-09,Drama,127,3.6
tt7275830,2019-11,Drama,98,7.1
tt7275830,2019-11,Music,98,7.1
tt7277942,2020-08,Horror,89,5.3
tt7277942,2020-08,Sci-Fi,89,5.3
tt7277942,2020-08,Thriller,89,5.3
tt7278824,2019-01,Drama,123,6.6
tt7278824,2019-01,History,123,6.6
tt7279014,2018-05,Comedy,100,4.5
tt7279296,2018-09,Comedy,110,6.7
tt7279868,2020-07,Adventure,117,6.0
tt7279868,2020-07,Western,117,6.0
tt7280786,2018-06,Action,130,7.0
tt7280786,2018-06,Sci-Fi,130,7.0
tt7280786,2018-06,Thriller,130,7.0
tt7280898,2018-10,Crime,143,6.8
tt7280898,2018-10,Drama,143,6.8
tt7280898,2018-10,History,143,6.8
tt7281538,2019-08,Drama,100,6.8
tt7282278,2019-03,Drama,94,5.6
tt7282278,2019-03,Mystery,94,5.6
tt7282278,2019-03,Thriller,94,5.6
tt7282370,2018-10,Mystery,153,6.9
tt7282370,2018-10,Sci-Fi,153,6.9
tt7282468,2019-09,Drama,148,7.5
tt7282468,2019-09,Mystery,148,7.5
tt7283064,2019-10,Action,167,8.1
tt7283064,2019-10,Adventure,167,8.1
tt7283064,2019-10,Drama,167,8.1
tt7284066,2018-07,Comedy,71,5.2
tt7284066,2018-07,Drama,71,5.2
tt7284202,2019-07,Horror,88,5.4
tt7284202,2019-07,Thriller,88,5.4
tt7284204,2018-12,Comedy,95,5.6
tt7284204,2018-12,Drama,95,5.6
tt7284204,2018-12,Romance,95,5.6
tt7286456,2019-10,Crime,122,8.5
tt7286456,2019-10,Drama,122,8.5
tt7286456,2019-10,Thriller,122,8.5
tt7286492,2019-02,Crime,90,6.5
tt7286492,2019-02,Drama,90,6.5
tt7286492,2019-02,Thriller,90,6.5
tt7286500,2018-04,Romance,127,5.7
tt7286612,2018-01,Drama,94,5.6
tt7286836,2020-05,Horror,71,5.7
tt7286966,2020-07,Action,82,3.3
tt7287656,2019-03,Comedy,92,4.6
tt7287656,2019-03,Romance,92,4.6
tt7287680,2020-09,Action,112,2.8
